,Area,Children,Age,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Churn
6397,1,0,71,29056.86,4,1,9.929809,12,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,53.63969,129.9483,4982.535602,3,3,4,3,4,2,4,3,No
22,2,3,52,27442.03,4,1,9.372975594,16,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5,No
9362,2,2,80,65502.64,3,0,11.31872,12,0,1,1,2,0,1,2,1,1,0,1,0,0,1,0,0,0,66.13697,159.9642,5739.667361,2,2,3,5,3,4,2,4,No
9170,1,0,39,69555.01,4,0,3.093001,11,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,2,67.20074,127.4783,6098.579126,4,3,4,3,4,2,3,5,No
1851,2,1,42,36705.32,4,1,6.256478572,12,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1.358818331,204.979684,567.3209248,3,3,2,2,3,2,3,4,No
8393,1,0,67,32672.77,2,1,6.307844,17,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,2,70.99616,114.9658,5999.083618,3,4,2,4,4,4,4,6,No
122,1,1,65,36478.21,4,1,7.251198724,14,2,0,1,0,0,1,2,1,0,0,1,0,1,0,0,1,3,10.04672315,114.983787,980.9935923,2,2,3,4,3,3,4,4,No
7530,0,4,89,38986.79,3,0,14.70152,18,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,2,62.11655,147.4564,5659.985455,3,3,3,4,6,2,3,3,No
4574,0,0,70,69183.29,4,0,13.7572,9,2,1,0,2,1,0,0,1,1,0,1,0,1,1,1,1,0,31.79027,255.1198,3575.871459,4,3,4,4,3,4,3,3,Yes
5398,0,5,56,63774.11,2,0,10.0948,7,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,2,55.28921,187.6094,5530.883577,5,4,3,4,4,4,5,5,Yes
3690,2,2,59,12498.28,3,0,9.032718,15,0,0,0,2,0,0,2,0,1,1,0,0,1,1,0,0,1,9.447103,152.4952,1149.009681,4,3,6,4,3,3,4,4,No
389,1,1,84,37774.81,1,0,11.70582668,11,1,0,0,0,0,0,2,1,0,1,1,0,1,0,1,1,2,16.26037537,152.488401,1580.43019,5,5,5,4,4,4,4,2,Yes
6565,0,2,63,6587.88,3,1,8.292211,15,2,0,0,1,0,1,2,1,1,1,0,1,0,1,1,0,2,56.86558,222.6792,5410.603621,2,3,4,5,2,4,4,5,No
8422,1,1,70,52171.43,4,0,11.06332,14,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,3,51.53345,220.1185,4644.934479,4,3,4,5,2,4,4,3,No
1555,2,2,47,28528.32,4,0,11.15167976,7,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,8.460086502,240.114868,1289.416735,3,3,4,4,3,3,4,4,Yes
6174,2,0,58,12883.78,4,1,6.752764,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,56.37649,104.9643,5088.824488,4,5,3,4,4,3,4,2,No
4458,2,4,40,14912.08,3,1,5.486343,14,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,2,3.575214,225.1457,1616.617211,3,3,3,4,3,3,4,3,Yes
2723,2,4,30,23089.13,2,1,12.33102,9,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,8.962034,159.965,1245.735579,4,4,4,3,4,5,5,5,Yes
5770,2,0,62,39830.33,4,0,4.789545,10,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,3,70.18932,232.6378,6735.268525,6,5,3,4,4,5,6,5,No
4725,2,1,83,44241.07,3,0,13.18243,7,3,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,2,12.79286,132.466,1655.225461,3,3,3,5,2,4,6,5,No
2781,0,4,89,27485.23,4,1,6.257899,18,1,1,0,2,0,1,1,1,0,0,1,1,1,1,0,0,1,14.36866,184.967,1594.517874,4,5,5,2,4,5,5,3,No
4601,1,2,48,84113.15,2,0,9.224349,14,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,8.093081,129.9483,1340.469295,3,4,2,3,4,3,3,4,Yes
4216,2,1,23,55241.85,0,1,9.205984,9,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,3,5.527407,174.9919,974.4325376,5,5,3,3,5,3,3,4,No
573,2,0,86,33529.19,1,1,9.023888498,16,2,1,0,0,1,0,2,0,1,0,0,1,0,0,1,1,3,8.274610767,159.994242,954.6181316,5,4,4,4,4,4,3,3,Yes
1162,0,0,20,99100.1,4,0,9.908849616,5,0,0,0,2,0,1,0,1,0,0,1,0,1,1,1,0,1,9.26064585,222.61428,1821.82345,3,4,3,4,5,3,3,4,Yes
1767,1,0,44,16301.48,0,0,9.415068375,12,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2.779431223,112.455141,242.9947554,5,4,4,5,3,5,4,6,No
8960,1,3,59,84770.13,0,0,9.69156,9,2,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,70.69188,172.4624,6193.73618,4,3,3,3,3,3,4,5,No
2629,0,4,80,6074.44,3,0,10.997,14,2,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,13.81972,162.4713,1438.002278,4,4,4,6,1,4,2,6,Yes
3957,1,4,67,72367.44,1,0,18.85173,14,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,2,16.74968,159.9794,2099.998325,2,2,2,4,4,4,2,3,No
62,0,0,42,100076.65,3,0,10.79349982,14,3,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,3,7.960490246,152.455519,1416.444695,5,5,5,4,3,2,4,4,Yes
4803,0,8,68,51136.79,2,1,8.10121,11,0,1,0,0,0,1,2,1,0,1,0,0,0,0,1,1,0,14.45396,117.4835,1684.339812,5,4,4,4,3,4,4,3,No
3034,2,0,51,36149.29,4,0,4.48145,13,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,2,18.24928,232.6378,2515.478194,1,1,2,4,3,3,2,4,Yes
1155,0,3,33,53862.8,2,0,2.944771091,13,1,0,0,2,0,0,1,1,1,0,0,1,0,0,1,1,0,10.39427126,192.470522,1312.134316,3,2,3,2,4,2,2,3,No
2049,0,1,51,34531.07,4,0,10.73901,9,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,13.37596,230.1051,1670.352435,4,3,4,3,2,4,4,4,Yes
2430,0,7,61,41959.76,3,0,11.16575,15,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1.704751,172.4567,964.1421939,4,3,4,4,3,4,5,5,Yes
6321,2,1,25,31517.51,0,1,10.25523,12,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,57.76658,192.4404,5250.409842,4,4,4,4,4,4,5,3,No
2249,0,1,48,6975.47,2,0,10.50011,14,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,3.459881,149.9741,971.0579616,3,4,4,4,3,2,5,3,No
3595,0,1,61,22872.65,1,0,5.936265,11,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,6.38998,124.9781,599.0290899,3,4,2,3,3,4,4,3,No
3535,2,1,38,79280.36,0,0,13.42226,15,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,2,5.886852,172.4441,842.193169,4,4,2,3,3,4,3,5,Yes
2685,1,0,55,57944.08,3,1,4.652367,12,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,2,4.534721,172.4555,761.9139877,4,4,4,4,3,4,3,3,No
7486,1,1,34,96579.4,3,0,14.23961,9,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,3,66.89669,104.9781,6058.836085,4,3,4,3,5,3,4,3,No
6969,0,1,22,43646.08,0,0,8.257424,8,1,1,0,0,1,1,2,1,0,0,1,1,0,0,0,1,1,65.36253,114.9976,5652.969841,3,4,3,4,1,5,4,5,No
1007,1,3,70,71860.3,1,1,6.005716686,14,1,0,1,0,1,1,2,1,0,0,0,0,0,1,0,0,3,2.049006759,104.962874,433.121911,2,3,2,3,6,2,4,3,No
1252,1,1,72,36352.23,2,0,11.69866136,10,0,1,0,2,1,0,2,1,1,1,0,1,0,0,0,0,3,14.06970055,127.525,1339.377921,3,3,3,4,3,4,5,4,No
7086,1,1,18,31018.0,0,1,14.31794,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,66.50164,117.4392,6236.645806,2,3,3,2,5,3,2,4,No
9709,1,0,74,91278.45,3,0,8.971664,13,2,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,3,66.23938,164.9785,6171.920728,2,3,3,4,6,3,3,3,No
5918,1,0,80,63130.04,0,1,7.173192,14,1,1,1,2,1,0,2,1,0,0,1,0,0,0,0,1,0,69.90151,102.4746,5801.078035,5,5,5,4,4,4,4,3,No
481,0,2,50,19133.76,0,1,9.993073346,11,3,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,7.176411327,255.155493,1381.802291,6,5,5,3,3,4,3,4,Yes
