,Area,Children,Age,Income,Marital,Gender,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Churn
1967,0,1,64,17172.32,4,1,10.209012,16,3,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,3,7.98560378,162.45383,1367.4247,3,3,4,5,3,5,4,4,No
2030,2,3,20,25686.47,4,1,8.591792,6,1,0,0,2,1,0,1,1,1,0,0,0,0,1,0,0,3,3.434965,169.9447,782.5670721,3,3,3,4,2,3,3,3,No
1632,0,1,82,45664.79,3,1,11.53924648,14,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,2,1.609325308,172.455519,464.4748418,3,4,3,4,4,3,3,5,Yes
5654,1,4,43,11962.55,3,0,9.519194,12,1,0,0,2,1,0,2,1,0,0,0,1,0,0,1,1,2,50.58158,127.4887,4531.04303,4,4,3,4,3,3,4,3,No
794,1,0,62,57559.65,2,1,10.02798635,10,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,3,4.933319572,204.963371,854.4182496,3,4,4,4,3,3,4,3,Yes
6287,2,1,82,36514.64,3,0,11.42327,17,2,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,64.29998,232.6378,6217.92046,4,4,4,4,3,3,4,4,No
3365,1,0,83,39434.88,0,1,14.79074,7,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,7.869508,275.1198,1206.792948,3,4,2,4,4,3,4,4,Yes
3954,0,0,65,41624.04,0,0,9.651504,9,1,0,0,0,1,0,2,1,0,0,0,1,0,0,1,0,1,8.525122,127.4887,889.7590173,2,3,3,3,4,2,4,4,Yes
4391,2,3,19,57992.91,0,1,9.819494,19,2,0,0,2,0,0,1,1,0,1,0,1,1,1,1,0,1,5.698156,235.1591,1325.472004,3,2,3,2,4,3,2,3,Yes
2144,0,1,40,22622.48,3,1,14.93471,12,0,0,0,2,1,1,1,1,0,1,0,1,1,1,1,1,0,1.375567,235.1591,840.8676674,5,5,4,3,2,4,4,5,Yes
9207,0,1,53,90748.01,1,1,12.60495,13,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,3,53.01595,129.9621,5102.051113,3,4,3,4,3,4,4,4,No
